127.0.0.1 - - [06/Jul/2022:09:31:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:31:59 +0900] "GET /test13/get/from.jsp HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:32:00 +0900] "GET /test13/get/to.jsp?ans=300 HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:32:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:50:11 +0900] "GET /test14/login.jsp HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:54:36 +0900] "GET /test14/login.jsp HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:55:20 +0900] "POST /test14/login_ok.jsp HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:55:20 +0900] "GET /test14/login.jsp HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:55:24 +0900] "GET /test14/logout.jsp HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:55:24 +0900] "GET /test14/login.jsp HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:55:29 +0900] "POST /test14/login_ok.jsp HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:55:29 +0900] "GET /test14/login.jsp HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:55:30 +0900] "GET /test14/logout.jsp HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:55:30 +0900] "GET /test14/login.jsp HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:55:34 +0900] "POST /test14/login_ok.jsp HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:55:34 +0900] "GET /test14/login.jsp HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:55:36 +0900] "GET /test14/logout.jsp HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [06/Jul/2022:09:55:36 +0900] "GET /test14/login.jsp HTTP/1.1" 200 1068
